name,amenity,lat,lon
OMNI RK Super Specialty Hospital,hospital,17.7186287,83.3116168
Vasan Eye Care Hospital,hospital,17.7168287,83.3087254
Lazarus Hospital,hospital,17.7171512,83.3083036
Sai Satya Hospital,hospital,17.7685126,83.3147241
Bharathi Hospital,hospital,17.7108505,83.3085356
Lawrance and Mayo Hospital,hospital,17.7124353,83.302677
Babai Hotel,restaurant,17.8250924,83.3562687
Prema Hospital,hospital,17.8796711,83.3740931
C.S.R. Hospital,hospital,17.706036,83.3068947
City Care Hospital,hospital,17.7066084,83.3090506
Kamala Nursing Home,hospital,17.7404309,83.250969
Kalavathi Surgical Hospital and Laparoscopic Centre,hospital,17.7265297,83.2990453
Subham Prema Hospital,hospital,17.728124,83.3123571
Care Hospitals,hospital,17.7203686,83.3127339
Narayana Em school,school,17.7360659,83.3004644
MyCure Hospital,hospital,17.7109237,83.3023683
"Government Hospital,Bheemili",hospital,17.8877592,83.4513908
"GVMC hospital,FRU Arilova",hospital,17.7686588,83.3172347
"NTR Government Hospital,Anakapalle",hospital,17.6845257,83.0067163
Cghs wellness centre,clinic,17.7285015,83.3323437
Hotel Arina,restaurant,17.718636,83.20336
Bethany Christian Hospital,hospital,17.8027947,83.347569
Dr. Adams Hospital,hospital,17.7998444,83.3508178
Medinar Polyclinics,clinic,17.7267225,83.293382
Jishnu Clinic,clinic,17.8386364,83.4058416
Master Homeo Vaidyalayam,hospital,17.7341833,83.298429
Dr. Hedgewar School Hospital,hospital,17.8830152,83.3251813
Gayatri Health Care,clinic,17.7452893,83.3362101
Usha Clinic,clinic,17.8112947,83.3561911
Ramakrishna ENT Hospital,hospital,17.8118168,83.3557704
Dr. Ramarao Clinic,clinic,17.8896873,83.4529898
Piles Clinic,clinic,17.819961,83.3600858
Day & Night Hospital,hospital,17.7289618,83.310741
NRI General Hospital,hospital,17.921695,83.426394
ESI Hospital,hospital,17.927652,83.423953
Dr. Perumallu Clinic,clinic,17.8892578,83.452386
Anand Piles Clinic,clinic,17.8944854,83.4500642
Sanjivi Hospital,hospital,17.743927,83.328678
Bhagavathi Clinic,clinic,17.7433959,83.3042268
Sri Venkateswara Clinic,clinic,17.8338229,83.4123172
Government Hospital,hospital,17.735493,83.296865
Kundan Family Clinic,clinic,17.783556,83.357939
Sai Spoorthy Hospital,hospital,17.7274681,83.3043823
Amma Hospital,hospital,17.7468553,83.3307524
Sandhya Eye Hospitals,hospital,17.7322507,83.3169337
Arogya Hospital,hospital,17.9310994,83.427302
Cure Speciality Clinics,clinic,17.8025027,83.3535511
Sri Krishna Hospital And Mrudula Kidney Centre,hospital,17.7398696,83.3381086
Ramkumar Hospital,hospital,17.7347439,83.2989253
Reddy Hospital,hospital,17.7295515,83.3099357
Kalavathy Maternity Hospital,hospital,17.7301424,83.2912686
S.V Hospital,hospital,17.7315298,83.2982102
Naidu Hospital,hospital,17.8948381,83.4480273
Sri Sai Pallavi First Aid Centre and Clinic,clinic,17.8952546,83.4461276
Lakshmi Gayathri Hospital,hospital,17.7360864,83.2988976
Dr. Ravi Child Clinic,clinic,17.7380085,83.3136747
Saroja Hospital,hospital,17.733482,83.300686
Surya Hospital,hospital,17.8059869,83.3397326
Aman Clinic,clinic,17.8213674,83.3621718
A1 Hospital,hospital,17.739424,83.2994272
Mukhyamantri Arogya Kendram,clinic,17.7437712,83.3206661
Mukyamantri Arogya Kendram,hospital,17.8952319,83.4451285
CARE Hospitals,hospital,17.7275716,83.294103
Surya Nursing Home,hospital,17.9321277,83.423704
Medi Cos Den Hospital,hospital,17.7636399,83.3591053
Sri Surya Hospital,hospital,17.7427806,83.340338
Aruna ENT Clinic,clinic,17.737158,83.3002306
Sri Krishna Hospital,hospital,17.7346615,83.3003628
Sri Sai Sanjeevani Clinic,clinic,17.7792428,83.3577903
Sri Sai Piles Clinic,clinic,17.8695422,83.3665288
Ujhwal Hospitals,hospital,17.8131242,83.3555939
Navratna Kesava Rao Hospital,hospital,17.8900803,83.4536651
Dr. Kamalamma Hospital,hospital,17.7289528,83.2936785
National Orthopaedic Centre,hospital,17.7364007,83.3116732
Raphah Hospital,clinic,17.735531,83.31229
Sri Sai Clinic,clinic,17.8397834,83.4034376
Vivekanandha Hospital,hospital,17.7318218,83.2982472
Government ENT Hospital,hospital,17.745865,83.3141989
Padmavathi Hospital,hospital,17.7414689,83.3075918
GITAM Hospital,hospital,17.7846774,83.3746555
Shanthi Maternity and Infertility Clinic,clinic,17.745914,83.3316373
Sri Chandra Ortho Care,clinic,17.739513,83.2950164
Smar City Clinic,clinic,17.7325871,83.30115
Krishnaveni Hospital,hospital,17.7301583,83.2947484
Visakha Multispeciality Clinics,clinic,17.8147685,83.3649326
Aditya Physiotherapy And First Aid Clinic,clinic,17.8895311,83.4530473
Lb Prasad Medical,clinic,17.7298279,83.2941227
Guru Ayurcare,clinic,17.8098904,83.3546555
Morpheus Padmasri International IVF Centre,hospital,17.7380243,83.3034712
Amrutha Clinic & Lab,clinic,17.8118167,83.3644588
GK's Rainbow Dental Superspeciality Hospital,hospital,17.8024524,83.3535257
Krishna Children Hospital,hospital,17.7289115,83.293632
Master Homoeo Home,hospital,17.7274279,83.3077406
Sri Sai Ram Hospital,hospital,17.7322439,83.2918881
Dr. Ramakrishna Hospital,hospital,17.9309318,83.4260617
Dr. P.P.Srinivas Murthy Clinic,clinic,17.7415765,83.2988909
Visakha Clinic,clinic,17.8153454,83.3574768
Soham ENT Hospital,hospital,17.7442418,83.297657
Keerthana Nursing Home,hospital,17.8040379,83.3467145
Padmavathi Nursing Home,hospital,17.9307079,83.4191803
Sri Gayatri Nursing Home & Kasturi Maternity Hospital,hospital,17.7244631,83.3331524
Phani Poly Clinic,clinic,17.6861511,83.001288
Tirumala Jyoti Hospital,hospital,17.683136,83.001827
Dr. Soma Raju Children Hospital,hospital,17.6882064,83.0101255
Kalyani Nursing Home,hospital,17.687728,83.001839
Annapurna Hospital,hospital,17.6842691,83.011245
SS Dental Hospital,hospital,17.688264,83.009283
Maternity Hospital,hospital,17.6848737,83.0101274
Sai Teja Hospital,hospital,17.686424,83.00072
Benargy Hospital,hospital,17.6753904,83.0010632
Sri Sagar Hospital,hospital,17.6892581,83.0021022
R.K Medical Centre,clinic,17.6863639,83.0032805
Srinivasa Children's Hospital,hospital,17.688484,83.002889
London Children's Hospital,hospital,17.6852716,83.0024749
Nirmala Maternity Hospital,hospital,17.6854923,83.00227
Ayyappa Gupta Eye Hospital,hospital,17.6916683,83.0037356
Usha Prime Multispeciality Hospital,hospital,17.687618,83.001744
Satyadev ENT Clinic,clinic,17.684444,83.001365
Gadam Dental Hospital,hospital,17.687646,83.002401
Medikon Hospital,hospital,17.680999,83.001142
Ravi Hospital,hospital,17.686005,83.009456
Laxmi Orthopaedic Hospital,hospital,17.68721,83.005706
Sapthagiri Hospital,hospital,17.69098,83.0099047
Dr. Ram Mohan Hospital,hospital,17.685712,83.0015806
Mother and Child Hospital,hospital,17.685934,83.001269
Siddhartha Nursing Home,hospital,17.6843742,83.0022801
Sri Venkateswara Nursing Home,clinic,17.690373,83.000991
Sri Venkateswara Hospital,hospital,17.6777911,83.0006719
Kanakadurga Hospital,hospital,17.7101086,83.312939
Sunrise Hospitals,hospital,17.7409007,83.2662977
Sunrise Childern Hospital,hospital,17.687897,83.2053903
Sri Krishna Orthopaedic Hospital,hospital,17.6843101,83.193854
Sandhya Sree Nursing Home,clinic,17.6830346,83.201472
A N Beach Hospital - Multi Speciality Hospital,hospital,17.7129243,83.3197589
Lakshmi Nursing Home,clinic,17.6868428,83.2128855
Dr. Mangamma Hospital,hospital,17.7100946,83.3045397
Sri Lakhmi ENT Hospital,hospital,17.6829789,83.1975029
BHEL Hospital,hospital,17.702135,83.199526
Visakha Child Care Centre,hospital,17.6846529,83.2016314
Piles Hospital,hospital,17.6871805,83.2133794
Visakha Hospital,hospital,17.710144,83.304361
Sreenivasa Hospital,hospital,17.8231815,83.2060963
Simhagiri Hospital,hospital,17.6863477,83.2127666
City Hospital Ortho & Specialities,hospital,17.6852466,83.2053196
Medicover Hospital,hospital,17.712323,83.313972
Rotary Free Homeo Clinic,clinic,17.6723936,83.2011967
KIMS ICON Hospitals,hospital,17.7141817,83.1956548
Life Spring Hospital,hospital,17.688339,83.243601
Sri Krishna Pavan Homeo Clinic,clinic,17.796478,83.211053
Sri Lakshmi Children Hospital,hospital,17.6854195,83.2078579
Vijaya Krishna Clinic,clinic,17.710948,83.311491
Ankitha Hospital,hospital,17.6827868,83.1989654
Hymavathi Hospital,hospital,17.7480338,83.2192385
Pujitha Hospital,hospital,17.6844753,83.2100702
Sarojini Children's Hospital,hospital,17.7445712,83.2265444
SMS Hospital,hospital,17.7452036,83.2261912
Padmaja Clinic,clinic,17.6826577,83.2158252
Navaratnam - Kesava Rao Charitable Health Centre,hospital,17.6872165,83.2049981
Visakha Gynaec & Obst Hospital,hospital,17.8148001,83.2042804
Suryanarayana Hospital,hospital,17.7508459,83.2186331
Simhadri Women & Child Hospital,hospital,17.7656255,83.2256151
Vizag Ortho & Spine Centre,hospital,17.7104,83.312442
Sri Amrutha Hospital,hospital,17.710327,83.302862
Mukhyamantri Arogya Kendram,clinic,17.6836262,83.2336948
Mamata Hospital,hospital,17.6869092,83.2079845
Sri Surya Dental Hospital,hospital,17.709779,83.3103498
Sri Surya Hospital,hospital,17.708149,83.309857
Bhajrang Skin Clinic,clinic,17.6861162,83.2069228
Madhu Skin Clinic,clinic,17.6860455,83.2060364
Lata Hospital,hospital,17.6877091,83.205361
Janani Hospital,hospital,17.6865547,83.2073838
Geetha Hospital,hospital,17.6860522,83.2145015
Shree Krishna Health Centre,hospital,17.7104023,83.3105799
Aditya Obstetrics & Gynecology Hospital,hospital,17.745985,83.269641
ENT Clinic,clinic,17.7098153,83.3103685
Suresh Children's Clinic,clinic,17.7998618,83.2098576
Rotary Netra Rural Eye Hospital,hospital,17.831088,83.202451
Sri Surya Hospital,hospital,17.6849028,83.2092812
Harshitha Hospital,hospital,17.6863384,83.2101897
Pendurthi Govt Hospital,hospital,17.8094151,83.2070778
Sri Sai Balaji Clinic,clinic,17.7418536,83.2368507
Sri Sai Aditya Hospital,hospital,17.746278,83.269671
Srikanth's Speech & Hearing Clinic,clinic,17.710622,83.3022707
Gothis Doctor Chambers,hospital,17.710382,83.312125
Harini Hospital,hospital,17.6795765,83.2055093
Janaki Polyclinic,clinic,17.6930517,83.2049423
Heritage Kerala Ayurveda Hospital,hospital,17.7671455,83.2120798
Ashok Clinic,clinic,17.8220019,83.2059135
GSR Chest Clinic,clinic,17.6848418,83.1961794
Ramya Hospital,hospital,17.710544,83.304302
Sanjevani Mega Clinic,clinic,17.7098493,83.3103812
Sri Sapthagiri Hospitals,hospital,17.805851,83.213061
Government Hospital,hospital,17.7524734,83.2161371
Raghavendra Eye Hospital,hospital,17.7476896,83.2199593
ENT Clinic,clinic,17.75108,83.218258
Muddu Krishna Children Hospital,hospital,17.6852715,83.2046951
Sarojini Devi Skin Hospital,hospital,17.7166466,83.3090277
Ramsaranya Child Care Hospital,hospital,17.7102508,83.3143316
Baba Hospital,hospital,17.708177,83.308867
Triveni Hospitals,hospital,17.8177533,83.2064302
Aditya Multi Care Hospital,hospital,17.7100474,83.3046802
M.B. Hospitals,hospital,17.763448,83.3106082
ApolloHospitals,hospital,17.7171444,83.3091374
HCG Cancer Centre,hospital,17.7638753,83.3057236
Star Pinnacle Heart Centre,hospital,17.7632652,83.3078391
Homi Bhabha Cancer Hospital & Research Centre,hospital,17.6898831,83.1144238
Ramsaranya Hospitals,hospital,17.7097535,83.3106734
Visakha Hospitals And Diagnostics,hospital,17.7202856,83.3130073
SevenHills Hospital,hospital,17.7173631,83.3094245
St Anns Jubilee Memorial Hospital,hospital,17.6843531,83.2377236
Sri Narayana Defence Academy Junior & Degree College,college,17.8934834,83.2975325
Vijnana Vihara Residential School,school,17.8832002,83.3240093
Vijnana Vihara Residential School,school,17.8832006,83.3239894
Suraksha Hospital,hospital,17.7396152,83.2555653
Varma Hospitals,hospital,17.7640286,83.3113995
Sai Spoorthy Hospital,hospital,17.7295406,83.309347
Government Regional Eye Hospital,hospital,17.7304744,83.3113942
LG Hospitals,hospital,17.710174,83.3045894
Omega Hospitals,hospital,17.763791,83.3124349
Medicover Hospitals,hospital,17.7638179,83.3121251
Ramsaranya Hospitals,hospital,17.7100054,83.3109067
GJ Hospitals And Trauma Centre,hospital,17.7336653,83.3324401
Sankar Foundation Eye Hospital,hospital,17.6812931,83.2159491
site,hospital,17.7623232,83.3144561
Apollo Pharmacy,pharmacy,17.7496301,83.2560947
Chest Hospital and Medical Store,hospital,17.7493798,83.2191542
Arabica,restaurant,17.7264206,83.3387927
Paradise,restaurant,17.7195637,83.3330963
Cabrilos,restaurant,17.7111181,83.3154924
Indu's dental specialities,clinic,17.7361705,83.3076925
VFC V3 Fried chicken,restaurant,17.8076169,83.2081242
Food club,restaurant,17.8088443,83.2082848
Celebrations Restaurant,restaurant,17.8087407,83.2083207
Eye Hospitals,hospital,17.809861,83.2082462
Sri ramanjaneya foods,restaurant,17.8097234,83.2044675
Urban Treats Ruchi Family Restaurant,restaurant,17.8253473,83.3562943
Apollo Pharmacy,pharmacy,17.8243797,83.3567637
Nawabs Biryani,restaurant,17.8240869,83.3567741
Treet Food Court,restaurant,17.8252237,83.3562356
Amogha,restaurant,18.0467871,83.40406
Bakasura Hotel,restaurant,17.8445308,83.1979626
Alekhya Biryani,restaurant,17.8218709,83.2048884
Apollo Pharmacy,pharmacy,17.7992566,83.2108041
MPP school,school,17.777915,83.2163785
Apollo Pharmacy,pharmacy,17.7350341,83.2716634
Apollo Pharmacy,pharmacy,17.7405178,83.2449377
Ravindra Bharathi School,school,17.79843,83.2096569
Apollo Pharmacy,pharmacy,17.7765459,83.2161174
Apollo Pharmacy,pharmacy,17.8204103,83.2057411
Paakashala Restaurant,restaurant,17.7998399,83.2102647
Apollo Pharmacy,pharmacy,17.7530051,83.2174317
Donne Biryani House Restaurant,restaurant,17.7249978,83.305777
Amritsar Haveli,restaurant,17.7234725,83.3099803
Biriyanis Lounge Restarant,restaurant,17.725587,83.303254
Rajdhani Multi cuisine,restaurant,17.7256929,83.3032252
Dr.Mohan's Diabetes Specialities Centre,hospital,17.7251141,83.3147147
Majils Darbar,restaurant,17.7256404,83.3036875
The Invitation 365,restaurant,17.7240756,83.318478
The Invitation 365,restaurant,17.723802,83.3182068
Apollo Pharmacy,pharmacy,17.723878,83.3184059
Tandoori Treats,restaurant,17.7252861,83.3167223
Kritunga,restaurant,17.7262237,83.3039546
Sree Kamat,restaurant,17.726071,83.3039449
Sai Parlour Tiffins,restaurant,17.766173,83.2173214
MedPlus,pharmacy,17.7359818,83.2674111
Celebrations,restaurant,17.7406766,83.247516
Hotel Prabha,restaurant,17.7431242,83.2352378
Apollo Pharmacy,pharmacy,17.743595,83.2333242
Pavani Medicals,pharmacy,17.7511088,83.2182237
Masaledaar Desi Rasoi,restaurant,17.7253366,83.3036399
Absolute Barbecues,restaurant,17.7254213,83.3036774
Vijaya,pharmacy,17.7317172,83.3066805
Babai Biryani,restaurant,17.73597,83.307157
Hotel Alpha,restaurant,17.6850483,83.203902
Apollo Pharmacy,pharmacy,17.6880696,83.1338381
Eaters Stop Restaurant 4th Town,restaurant,17.7387366,83.3041844
Sri Viswa School,school,17.739898,83.3058704
MedPlus,pharmacy,17.7394679,83.30576
Coffee And Kitchen,restaurant,17.7417274,83.3060877
Abhiruchi Tiffin Center,restaurant,17.7417089,83.3058933
Nanak Bakery,restaurant,17.7371438,83.3080835
B'treats,restaurant,17.7422461,83.3071621
New Deepak Punjabi Dhaba,restaurant,17.7357544,83.3045788
Apollo Pharmacy,pharmacy,17.7350256,83.3042503
AMG Hospital,hospital,17.7414668,83.3118352
Apollo Pharmacy,pharmacy,17.7383707,83.3130433
Real Deepak Punjab Dhaba,restaurant,17.7378816,83.3099326
The Shawarma Co,restaurant,17.7400837,83.2997632
MedPlus,pharmacy,17.736649,83.2997388
Apollo Pharmacy,pharmacy,17.7341905,83.2731535
Red Velvet,restaurant,17.740738,83.247286
bucket biriyani,restaurant,17.727333,83.3114725
Tycoon,restaurant,17.7254922,83.317058
Red pepper,restaurant,17.7348593,83.3130516
Madhura,restaurant,17.9195292,83.41704
Kamat,restaurant,17.8834107,83.3770966
Food Plaza,restaurant,17.8819073,83.3763233
Sri Sai Medicals,pharmacy,17.8043413,83.3537043
Zeeshan,restaurant,17.8043638,83.3528357
Element E7 Restrobar,restaurant,17.8045659,83.3530204
Pizza Hut,restaurant,17.8025089,83.3536058
Somaa,restaurant,17.7782046,83.3542709
Medicover Hospitals,hospital,17.7478206,83.3318795
Hotel Muntaj,restaurant,17.744045,83.3277855
Kritunga,restaurant,17.8020126,83.3534138
Dr BR Ambedkar Gurukulam,school,17.7695657,83.2812434
MedPlus,pharmacy,17.7715948,83.239284
Hotel Sitara Grand,restaurant,17.7712985,83.2384029
Salt & Pepper,restaurant,18.0527238,83.4002374
Grand Alpha,restaurant,17.7434774,83.2312221
MedPlus,pharmacy,17.7435093,83.2304987
Sai Ramkrishna Pharmacy,pharmacy,17.7437014,83.2289186
MedPlus,pharmacy,17.7457212,83.2225925
Sri Sai Ram Parlour,restaurant,17.7254689,83.3059027
Dine Destiny,restaurant,17.7277209,83.3391847
Gismat Mandi,restaurant,17.7337883,83.3406169
Imperial Spice,restaurant,17.7433579,83.3442904
Apollo Pharmacy,pharmacy,17.7361267,83.3345037
Vaishnavi Medical,pharmacy,17.7495767,83.2188998
Apollo Pharmacy,pharmacy,17.7487309,83.2194218
Sri Dhavala Medicals,pharmacy,17.7485165,83.2196592
Sri Lalitha Medicals,pharmacy,17.7400186,83.2539492
MedPlus,pharmacy,17.7401011,83.253535
Sri Manikanta Medicals,pharmacy,17.7400803,83.2536185
Suneetha Hospital Dr V Anand Rao,hospital,17.7401303,83.2535864
Apollo Pharmacy,pharmacy,17.7401985,83.2526881
Sri Chaitanya Techno School,school,17.7413557,83.2375401
Mandi Restaurant,restaurant,17.742226,83.2381724
Pizza Hut,restaurant,17.7342188,83.3185057
Apollo Pharmacy,pharmacy,17.7372058,83.3219765
Vintage Spices,restaurant,17.8026924,83.3533741
Vijayam School,school,17.8239752,83.3524502
Sri Krishna Grammar School,school,17.7639754,83.3296454
Sree Arunodaya School,school,17.7632507,83.3309447
Curry Point,restaurant,17.763326,83.3308384
Apollo Pharmacy,pharmacy,17.7636954,83.3306692
Sree krishna Grammar School,school,17.7637595,83.3294722
Sree Krishna Grammar School,school,17.7656345,83.3293192
Sree Krishna Grammar School,school,17.7654285,83.3292387
Aditya Degree College,college,17.7318803,83.3172009
Medplus,pharmacy,17.8203015,83.2057726
Moghals Biryani House,restaurant,17.811093,83.2072421
Santhi Medical Stores,pharmacy,17.8051502,83.2092213
Sai Clinic,hospital,17.8046265,83.2093877
Saadhana Hospitals,hospital,17.8009047,83.2105594
Generic Medical Store,pharmacy,17.8006523,83.2104259
Kritunga,restaurant,17.8022346,83.2095155
Ghumaghumalu,restaurant,17.8019941,83.20959
Mayuri,restaurant,17.8007745,83.2098346
VJ Pharmacy,pharmacy,17.8006055,83.2100269
Surabhi Clinics,hospital,17.8032146,83.2092659
Ramachandra,pharmacy,17.8032889,83.2093038
Hey Delicisus,restaurant,17.8029816,83.2093386
Sarat Chandras Speciality Clinic,hospital,17.8024276,83.2094537
Generic Medical Store,pharmacy,17.8048719,83.2087962
MedPlus,pharmacy,17.8051319,83.2088076
Lavanya Medical,pharmacy,17.8052804,83.2087722
Apollo Pharmacy,pharmacy,17.7321305,83.3168907
Sri Sai Ram Medical,pharmacy,17.7766478,83.2161731
Lucky Arabian Mandi,restaurant,17.7481234,83.2200535
Yalamarty Pharmacy College,college,17.899835,83.3342476
Yalamarty Polytechnic College,college,17.8990155,83.3339016
Dr BV Adinarayana Childrens Specialist,hospital,17.7350078,83.2719764
Sri Hyndhavi Medical and General Stores,pharmacy,17.7348232,83.2721253
The Arabian Kitchen,restaurant,17.7357615,83.2683058
Rightway School,school,17.7349954,83.2700271
Apollo Pharmacy,pharmacy,17.7348973,83.2705009
Sri Vagdevi School,school,17.7354555,83.270296
Arabian Nights,restaurant,17.7384623,83.3231332
Waltair Spice,restaurant,17.7367818,83.3361188
Hotel Anupama,restaurant,17.7283239,83.3271471
Ayushman arogya mandir,hospital,17.729599,83.3294672
Hotel Amrutham,restaurant,17.7365395,83.3212245
Waltair Grills,restaurant,17.7320334,83.3386035
GVMC Primary School,school,17.7313197,83.2785659
Sudheer Food Court,restaurant,17.7883435,83.2137351
Delhi Public School,school,17.7425283,83.2396113
Amaravati Hotel & Catering,restaurant,17.7762154,83.2166558
Annapurna,restaurant,17.7108053,83.2989848
Apollo Pharmacy,pharmacy,17.7447284,83.3280126
Central Pharmacy,pharmacy,17.7080946,83.3077576
Sukhibhava Medicals,pharmacy,17.7098373,83.3051908
Jai Jagannath Parlor,restaurant,17.7103472,83.3030649
Andhra Vindu,restaurant,17.8061519,83.2084497
Neha's Kitchen,restaurant,17.6850378,83.1623547
Anna Canteen,restaurant,17.6899483,83.2332053
Eaters Stop,restaurant,17.7347613,83.228131
Pizza Hut,restaurant,17.6967262,83.1629557
Nandanam,restaurant,17.6980422,83.1612445
MedPlus,pharmacy,17.6982716,83.1602748
Vaidyah Medicals,pharmacy,17.7715267,83.2377239
